ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
K14M,small_airport,Hollandale Municipal Airport,114,NA,US,US-MS,Spokane,,,K14M,14M,"33.182598, -90.830704"
K14Y,small_airport,Todd Field,1333,NA,US,US-MN,Georgetown,,,K14Y,14Y,"45.898602, -94.873901"
K15F,small_airport,Haskell Municipal Airport,1625,NA,US,US-TX,Glendale,,,K15F,15F,"33.19150161743164, -99.71790313720703"
K15J,small_airport,Cook County Airport,236,NA,US,US-GA,Maplewood,,,15J,15J,"31.1378, -83.4533"
K15M,small_airport,Iuka Airport,630,NA,US,US-MS,Greybull,,,K15M,15M,"34.772300720214844, -88.16590118408203"
K16D,small_airport,Perham Municipal Airport,1371,NA,US,US-MN,Shelbyville,,,K16D,16D,"46.610828, -95.60586"
K16G,small_airport,Seneca County Airport,786,NA,US,US-OH,Great Falls,,,K16G,16G,"41.094101, -83.212502"
K16J,small_airport,Dawson Municipal Airport,333,NA,US,US-GA,Greenfield,,,,16J,"31.743299, -84.419296"
K17,small_airport,Montezuma Municipal Airport,2780,NA,US,US-KS,Grand Forks,,,K17,K17,"37.583407, -100.469885"
K17G,small_airport,Port Bucyrus-Crawford County Airport,1003,NA,US,US-OH,Glens Falls,,,,17G,"40.781803, -82.974408"
K17J,small_airport,Donalsonville Municipal Airport,148,NA,US,US-GA,Greenfield,,,,17J,"31.006901, -84.877602"
K17K,small_airport,Boise City Airport,4178,NA,US,US-OK,Georgetown,,,K17K,17K,"36.7743, -102.510002"
K17M,small_airport,Magee Municipal Airport,555,NA,US,US-MS,Grant,,,K17M,17M,"31.862699508666992, -89.80059814453125"
K17N,small_airport,Cross Keys Airport,162,NA,US,US-NJ,Longview,,,K17N,17N,"39.705502, -75.032997"
K17V,small_airport,Haxtun Municipal Airport,4035,NA,US,US-CO,Grinnell,,,K17V,17V,"40.627519, -102.600911"
K18A,small_airport,Franklin County Airport,890,NA,US,US-GA,Logansport,,,K18A,18A,"34.340099, -83.133499"
K18I,small_airport,McCreary County Airport,1370,NA,US,US-KY,Pampa,,,K18I,18I,"36.695525, -84.391345"
K18V,small_airport,Platte Valley Airpark,4965,NA,US,US-CO,Marshfield,,,K18V,18V,"40.099998, -104.700996"
K19A,small_airport,Jackson County Airport,951,NA,US,US-GA,Centerville,,,KJCA,JCA,"34.174, -83.560699"
K19M,small_airport,C. A. Moore Airport,340,NA,US,US-MS,Glenwood,,,K19M,19M,"33.1255, -90.025597"
K19N,small_airport,Pine Valley Airport,149,NA,US,US-NJ,Santa Maria,,,K19N,19N,"39.7784, -74.9478"
K19S,small_airport,Sublette Municipal Airport,2908,NA,US,US-KS,Winter Haven,,,,19S,"37.497018, -100.834343"
K1A0,closed,Dallas Bay Sky Park Airport,690,NA,US,US-TN,Grand Junction,,,,,"35.18797, -85.176755"
K1A3,small_airport,Martin Campbell Field,1790,NA,US,US-TN,Meadville,,,K1A3,1A3,"35.016201, -84.346298"
K1A4,small_airport,Logan Field,200,NA,US,US-AL,Sevierville,,,K1A4,1A4,"31.103788, -86.06248"
K1A5,small_airport,Macon County Airport,2020,NA,US,US-NC,Arlington,,,K1A5,1A5,"35.222599029541016, -83.41899871826172"
K1A6,small_airport,Middlesboro-Bell County Airport,1154,NA,US,US-KY,Goodland,,,K1A6,1A6,"36.610257, -83.737385"
K1A7,small_airport,Jackson County Airport,515,NA,US,US-TN,Gainesville,,,K1A7,1A7,"36.395864, -85.641346"
K1A9,small_airport,Prattville - Grouby Field,225,NA,US,US-AL,Greenville,,,K1A9,1A9,"32.438702, -86.512703"
K1B0,small_airport,Dexter Regional Airport,533,NA,US,US-ME,Gaylord,,,K1B0,1B0,"45.004101, -69.237"
K1B1,small_airport,Columbia County Airport,198,NA,US,US-NY,Galveston,,HCC,K1B1,1B1,"42.291302, -73.710297"
K1B2,small_airport,Katama Airpark,18,NA,US,US-MA,Pampa,,,1B2,1B2,"41.358299, -70.524399"
K1B6,small_airport,Hopedale Industrial Park Airport,269,NA,US,US-MA,Clinton,,,K1B6,1B6,"42.106499, -71.510101"
K1B9,small_airport,Mansfield Municipal Airport,122,NA,US,US-MA,Grove City,,,1B9,1B9,"42.000099182099994, -71.1968002319"
K1BT,small_airport,Bonne Terre Municipal Airport,922,NA,US,US-MO,Greenville,,,K1BT,1BT,"37.919055, -90.57525"
K1C1,small_airport,Paxton Airport,779,NA,US,US-IL,Granby,,,K1C1,1C1,"40.449001, -88.127701"
K1C5,small_airport,Bolingbrook's Clow International Airport,670,NA,US,US-IL,Seminole,,,K1C5,1C5,"41.695999145500004, -88.12920379639999"
K1D1,small_airport,Milbank Municipal Airport,1118,NA,US,US-SD,Grenada,,,K1D1,1D1,"45.23049927, -96.56600189"
K1D3,small_airport,Platte Municipal Airport,1618,NA,US,US-SD,Gooding,,,1D3,1D3,"43.404665, -98.830453"
K1D7,small_airport,The Sigurd Anderson Airport,1854,NA,US,US-SD,Grants,,,K1D7,1D7,"45.292611, -97.511359"
K1D8,small_airport,Redfield Municipal Airport,1307,NA,US,US-SD,Gainesville,,,1D8,1D8,"44.856176, -98.531284"
K1F0,small_airport,Ardmore Downtown Executive Airport,844,NA,US,US-OK,Guthrie,,AHD,,1F0,"34.1469993591, -97.1227035522"
K1F4,small_airport,Madill Municipal Airport,890,NA,US,US-OK,Groton,,,K1F4,1F4,"34.14039993286133, -96.81199645996094"
K1F5,small_airport,Hoxie-Sheridan County Airport,2733,NA,US,US-KS,Grass Valley,,,1F5,1F5,"39.367176, -100.441338"
K1G0,small_airport,Wood County Airport,673,NA,US,US-OH,Gatesville,,,K1G0,1G0,"41.390999, -83.630096"
K1G1,small_airport,Elyria Airport,758,NA,US,US-OH,Grayling,,,K1G1,1G1,"41.33150100708008, -82.10030364990234"
K1G3,small_airport,Kent State University Airport,1134,NA,US,US-OH,Excelsior Springs,,,K1G3,1G3,"41.151402, -81.4151"
K1G4,small_airport,Grand Canyon West Airport,4825,NA,US,US-AZ,Kalispell,,GCW,K1G4,1G4,"35.985787, -113.817072"
K1G5,small_airport,Medina Municipal Airport,1190,NA,US,US-OH,Grand Prairie,,,K1G5,1G5,"41.13189, -81.767368"
K1H0,small_airport,Creve Coeur Airport,463,NA,US,US-MO,Gulfport,,,K1H0,1H0,"38.726799, -90.508301"
K1H2,small_airport,Effingham County Memorial Airport,587,NA,US,US-IL,Grand Rapids,,,K1H2,1H2,"39.0704, -88.533501"
K1H3,small_airport,State Technical College of Missouri Airport,952,NA,US,US-MO,Galion,,,K1H3,1H3,"38.471583, -91.817293"
K1H5,small_airport,Willow Springs Memorial Airport,1247,NA,US,US-MO,Green Bay,,,K1H5,1H5,"36.989601135253906, -91.9541015625"
K1H8,small_airport,Casey Municipal Airport,654,NA,US,US-IL,Greenwood,,,K1H8,1H8,"39.302502, -88.004097"
K1I5,small_airport,Freehold Airport,440,NA,US,US-NY,Greenville,,,K1I5,1I5,"42.3643, -74.066002"
K1J0,small_airport,Tri-County Airport,85,NA,US,US-FL,Joint Base Lewis McChord,,,KBCR,BCR,"30.843879, -85.601773"
K1K2,small_airport,Lindsay Municipal Airport,968,NA,US,US-OK,Grand Island,,,K1K2,1K2,"34.849300384521484, -97.58529663085938"
K1K4,small_airport,David Jay Perry Airport,1168,NA,US,US-OK,Fort Cavazos,,,K1K4,1K4,"35.155102, -97.470398"
K1K7,small_airport,Fredonia Airport,880,NA,US,US-KS,Gordon,,,K1K7,1K7,"37.580518, -95.837184"
K1K9,small_airport,Satanta Municipal Airport,2976,NA,US,US-KS,Grand Rapids,,,K1K9,1K9,"37.456667, -100.984664"
K1L0,small_airport,Port of South Louisiana Executive Regional Airport,7,NA,US,US-LA,Goldsboro,,,KAPS,APS,"30.087, -90.582602"
K1L1,small_airport,Lincoln County Airport,4828,NA,US,US-NV,Goshen,,,K1L1,1L1,"37.787122, -114.420044"
K1L3,small_airport,Searchlight Airport,3410,NA,US,US-NV,Greensboro,,,K1L3,1L3,"35.444400787353516, -114.90899658203125"
K1L7,small_airport,Escalante Municipal Airport,5733,NA,US,US-UT,Greenville/Greer/Spartanburg,,,K1L7,1L7,"37.74530029296875, -111.56999969482422"
K1L8,small_airport,General Dick Stout Field,3347,NA,US,US-UT,Fort Drum,,,K1L8,1L8,"37.138901, -113.306"
K1L9,small_airport,Parowan Airport,5930,NA,US,US-UT,Gothenburg,,,K1L9,1L9,"37.85969924926758, -112.81600189208984"
K1M2,small_airport,Belzoni Municipal Airport,110,NA,US,US-MS,Great Falls,,,K1M2,1M2,"33.145207, -90.51526"
K1M4,small_airport,Posey Field,930,NA,US,US-AL,Grantsburg,,,K1M4,1M4,"34.2803, -87.600403"
K1M5,small_airport,Portland Municipal Airport,818,NA,US,US-TN,Columbus/W Point/Starkville,,,K1M5,1M5,"36.592681, -86.476936"
K1M9,small_airport,Lake Barkley State Park Airport,570,NA,US,US-KY,Georgetown,,,1M9,1M9,"36.8177986145, -87.90750122070001"
K1MO,small_airport,Mountain Grove Memorial Airport,1476,NA,US,US-MO,Gunnison,,,K1MO,1MO,"37.12070083618164, -92.31120300292969"
K1N1,small_airport,Sandia Airpark Estates East Airport,6550,NA,US,US-NM,Gallup,,,1N1,1N1,"35.094501, -106.167"
K1N7,small_airport,Blairstown Airport,372,NA,US,US-NJ,Peru,,,1N7,1N7,"40.9711, -74.997498"
K1O1,small_airport,Grandfield Municipal Airport,1128,NA,US,US-OK,Guymon,,,K1O1,1O1,"34.23759841918945, -98.74199676513672"
K1O2,small_airport,Lampson Field,1379,NA,US,US-CA,Gordonsville,,CKE,1O2,1O2,"38.9906005859, -122.901000977"
K1O3,small_airport,Lodi Airport,60,NA,US,US-CA,Gainesville,,,K1O3,1O3,"38.20240021, -121.2679977"
K1O4,small_airport,Thomas Municipal Airport,1731,NA,US,US-OK,Batavia,,,K1O4,1O4,"35.733455, -98.730575"
K1O5,small_airport,Montague-Yreka Rohrer Field,2527,NA,US,US-CA,Greenville,,ROF,K1O5,1O5,"41.7304000854, -122.54599762"
K1O8,small_airport,Tipton Municipal Airport,1248,NA,US,US-OK,Auburn,,,K1O8,1O8,"34.45859909057617, -99.17130279541016"
K1Q2,small_airport,Spalding Airport,5116,NA,US,US-CA,Fort Stewart,,,K1Q2,1Q2,"40.650169, -120.768524"
K1Q4,small_airport,New Jerusalem Airport,62,NA,US,US-CA,Greenwood,,,K1Q4,1Q4,"37.6791, -121.300003"
K1R1,small_airport,Jena Airport,212,NA,US,US-LA,Gwinner,,,K1R1,1R1,"31.666903, -92.157722"
K1R3,heliport,Daniel Island Helipad,11,NA,US,US-SC,Glenwood Springs,,,K1R3,1R3,"32.867564, -79.906125"
K1R4,small_airport,Woodworth Airport,140,NA,US,US-LA,Pikeville,,,K1R4,1R4,"31.126399993896484, -92.50140380859375"
K1R7,small_airport,Brookhaven-Lincoln County Airport,489,NA,US,US-MS,Grayling,,,K1R7,1R7,"31.605801, -90.409302"
K1R8,small_airport,Bay Minette Municipal Airport,248,NA,US,US-AL,Greeley,,,K1R8,1R8,"30.870321, -87.819298"
K1S3,small_airport,Tillitt Field,2727,NA,US,US-MT,Giddings,,,K1S3,1S3,"46.271099, -106.624001"
K1S5,small_airport,Sunnyside Municipal Airport,768,NA,US,US-WA,Greenville,,,K1S5,1S5,"46.32709885, -119.9700012"
K1S9,small_airport,Chewelah Municipal  Airport,2084,NA,US,US-WA,Denison,,,,1S9,"48.314098, -117.742995"
K1T7,small_airport,Kestrel Airpark,1250,NA,US,US-TX,Glencoe,,,,1T7,"29.811536, -98.425777"
K1U2,small_airport,Mud Lake/West Jefferson County/ Airport,4787,NA,US,US-ID,Goodyear,,,,1U2,"43.851014, -112.501359"
K1U7,small_airport,Bear Lake County Airport,5928,NA,US,US-ID,Gary,,,K1U7,1U7,"42.2472, -111.337997"
K1V0,small_airport,Navajo Lake Airport,6475,NA,US,US-NM,Glacier Creek,,,,1V0,"36.808168, -107.653077"
K1V2,small_airport,Grant County Airport,3710,NA,US,US-NE,Ridgewood,,,1V2,1V2,"42.010036, -101.77007"
K1V6,small_airport,Fremont County Airport,5439,NA,US,US-CO,Cisco,,CNE,K1V6,1V6,"38.429739, -105.108562"
K1V8,small_airport,Leach Airport,7598,NA,US,US-CO,Pulaski,,,K1V8,1V8,"37.785399, -106.047632"
K1WA,seaplane_base,Scott Seaplane Base,915,NA,US,US-WA,Ta Noun,,,K1WA,1WA,"48.972222, -119.439444"
K1X1,small_airport,Higgins-Lipscomb County Airport,2566,NA,US,US-TX,Phnom Penh (Boeng Khyang),,,1X1,1X1,"36.1059, -100.0257"
K20A,small_airport,Robbins Field,1140,NA,US,US-AL,Siem Reap,,,K20A,20A,"33.971183, -86.380518"
K20M,small_airport,Macon Municipal Airport,238,NA,US,US-MS,Kratie,,,K20M,20M,"33.13349914550781, -88.53559875488281"
K20N,small_airport,Kingston-Ulster Airport,149,NA,US,US-NY,Kampot,,,K20N,20N,"41.985298, -73.964104"
K20R,small_airport,Crystal City Municipal Airport,608,NA,US,US-TX,Longvek,,,K20R,20R,"28.697799682617188, -99.81780242919922"
K20U,small_airport,Beach Airport,2756,NA,US,US-ND,Tboung Khmum,,,K20U,20U,"46.925201, -103.982002"
K20V,small_airport,McElroy Airfield,7411,NA,US,US-CO,Phnom Penh,,,K20V,20V,"40.05341, -106.369078"
K21,seaplane_base,Rouses Point Seaplane Base,95,NA,US,US-NY,Phnom Penh,,RSX,,,"44.991699, -73.363073"
K21D,small_airport,Lake Elmo Airport,933,NA,US,US-MN,Vinita,,,K21D,21D,"44.99750137, -92.85569763"
K21F,small_airport,Jacksboro Municipal Airport,1055,NA,US,US-TX,Wilburton,,,K21F,21F,"33.228699, -98.146698"
K22F,small_airport,Kent County Airport,2006,NA,US,US-TX,Corning,,,K22F,22F,"33.2293014526, -100.569000244"
K22I,small_airport,Vinton County Airport,958,NA,US,US-OH,Buffalo,,,K22I,22I,"39.328098, -82.441803"
K22M,small_airport,Pontotoc County Airport,440,NA,US,US-MS,Bowling Green,,,K22M,22M,"34.275901794433594, -89.03839874267578"
K22N,small_airport,Jake Arner Memorial Airport,534,NA,US,US-PA,Camdenton,,,K22N,22N,"40.809502, -75.761497"
K22S,small_airport,Paisley Airport,4395,NA,US,US-OR,Huntsville,,,K22S,22S,"42.717899322509766, -120.56300354003906"
K23,small_airport,Cooperstown-Westville Airport,1260,NA,US,US-NY,Clarksville,,COP,KK23,K23,"42.629552, -74.890445"
K23M,small_airport,Clarke County Airport,320,NA,US,US-MS,Herlong,,,,23M,"32.0849, -88.738897"
K23R,small_airport,Devine Municipal Airport,703,NA,US,US-TX,Seymour,,,K23R,23R,"29.138399124145508, -98.94190216064453"
K24A,small_airport,Jackson County Airport,2857,NA,US,US-NC,Wagoner,,,K24A,24A,"35.31740188598633, -83.20989990234375"
K24F,small_airport,Cypress River Airport,221,NA,US,US-TX,Stratford,,,K24F,24F,"32.74599838256836, -94.30439758300781"
K24J,small_airport,Suwannee County Airport,104,NA,US,US-FL,Pryor,,,K24J,24J,"30.3001, -83.024696"
K24N,small_airport,Jicarilla Apache Nation Airport,7618,NA,US,US-NM,Pawhuska,,,K24N,24N,"36.82849884033203, -106.88400268554688"
K24R,small_airport,Dilley Airpark,542,NA,US,US-TX,Eldon,,,K24R,24R,"28.68549919128418, -99.18920135498047"
K25D,small_airport,Forest Lake Airport,925,NA,US,US-MN,Winchester,,,K25D,25D,"45.24769973754883, -92.99440002441406"
K25J,small_airport,Lower Chattahoochee Regional Airport,457,NA,US,US-GA,Hominy,,,25J,25J,"31.701711, -84.827055"
K25M,small_airport,Ripley Airport,465,NA,US,US-MS,Benton,,,K25M,25M,"34.722301, -89.015099"
K26,small_airport,Carrollton Memorial Airport,670,NA,US,US-MO,Hamilton,,,K26,K26,"39.3114013671875, -93.50659942626953"
K26A,small_airport,Ashland/Lineville Airport,1065,NA,US,US-AL,Hannibal,,,K26A,26A,"33.284207, -85.80863"
K26R,small_airport,Jackson County Airport,61,NA,US,US-TX,Half Moon Bay,,,K26R,26R,"29.000999, -96.582001"
K26U,small_airport,McDermitt State Airport,4478,NA,US,US-OR,Three Rivers,,,,26U,"42.00953, -117.727261"
K27A,small_airport,Elbert County Airport Patz Field,603,NA,US,US-GA,Hamilton,,,KEBA,EBA,"34.095423, -82.817581"
K27K,small_airport,Georgetown-Scott County Regional Airport,947,NA,US,US-KY,Mohall,,,K27K,27K,"38.234405, -84.434702"
K27R,small_airport,Eldorado Airport,2448,NA,US,US-TX,Hattiesburg,,,K27R,27R,"30.8622, -100.611"
K28J,small_airport,Palatka Municipal - Lt. Kay Larkin Field,48,NA,US,US-FL,Asheboro,,,K28J,28J,"29.6586, -81.688904"
K29,small_airport,Council Airport,85,NA,US,US-AK,Hobart,,CIL,K29,K29,"64.89790344240001, -163.70300293"
K29D,small_airport,Grove City Airport,1371,NA,US,US-PA,Hebbronville,,,K29D,29D,"41.146, -80.167702"
K29M,small_airport,Waite Field,812,NA,US,US-MI,Heber Springs,,,9MI4,9MI4,"42.890722, -83.932223"
K29S,small_airport,Gardiner Airport,5286,NA,US,US-MT,Hutchinson,,,K29S,29S,"45.0499, -110.747002"
K2A0,small_airport,Mark Anton Airport,719,NA,US,US-TN,Hallock,,,K2A0,2A0,"35.486198, -84.931099"
K2A1,small_airport,Jamestown Municipal Airport,1694,NA,US,US-TN,Heber,,,2A1,2A1,"36.349701, -84.946701"
K2A2,small_airport,Holley Mountain Airpark,1269,NA,US,US-AR,Hammond,,,K2A2,2A2,"35.650699615478516, -92.40380096435547"
K2A5,small_airport,Causey Airport,723,NA,US,US-NC,Holdrege,,,K2A5,2A5,"35.911800384521484, -79.61759948730469"
K2A6,small_airport,Holly Grove Municipal Airport,176,NA,US,US-AR,Mesa,,,2A6,2A6,"34.582401, -91.165199"
K2B3,small_airport,Parlin Field,784,NA,US,US-NH,Hondo,,NWH,K2B3,2B3,"43.3881, -72.189301"
K2B7,small_airport,Pittsfield Municipal Airport,198,NA,US,US-ME,West Helena,,,,2B7,"44.768501, -69.374397"
K2C8,small_airport,Cavalier Municipal Airport,892,NA,US,US-ND,Manassas,,,K2C8,2C8,"48.783798, -97.631897"
K2CB,small_airport,Camp Blanding Army Air Field/NG Airfield,196,NA,US,US-FL,Jacksonville,,,,2CB,"29.952499, -81.979698"
K2D5,small_airport,Oakes Municipal Airport,1335,NA,US,US-ND,Hettinger,,,K2D5,2D5,"46.173778, -98.079507"
K2E3,small_airport,Cluck Ranch Airport,3423,NA,US,US-TX,Holyoke,,,K2E3,2E3,"36.1772, -101.694"
K2E5,small_airport,Dell City Municipal Airport,3701,NA,US,US-TX,Natchez,,,KGDP,2E5,"31.947599, -105.192001"
K2E7,small_airport,McLean Gray County Airport,2835,NA,US,US-TX,Hartford,,,2E7,2E7,"35.246157, -100.546875"
K2F0,small_airport,Iraan Municipal Airport,2200,NA,US,US-TX,Hoffman,,IRB,,2F0,"30.9057006836, -101.891998291"
K2F1,small_airport,Shamrock Municipal Airport,2369,NA,US,US-TX,Pierce City,,,,2F1,"35.233913, -100.185442"
K2F4,small_airport,T Bar Airport,3126,NA,US,US-TX,Indianapolis,,,K2F4,2F4,"33.176998138427734, -101.81999969482422"
K2F5,small_airport,Lamesa Municipal Airport,2999,NA,US,US-TX,Hagerstown,,,KLUV,LUV,"32.756302, -101.919997"
K2F7,small_airport,Commerce Municipal Airport,515,NA,US,US-TX,Canadian,,,,2F7,"33.2929, -95.8964"
K2G1,small_airport,Concord Airpark,999,NA,US,US-OH,Huntington,,,K2G1,2G1,"41.66699981689453, -81.19719696044922"
K2G2,small_airport,Jefferson County Airpark,1196,NA,US,US-OH,Hawthorne,,,K2G2,2G2,"40.359402, -80.700104"
K2G4,small_airport,Garrett County Airport,2933,NA,US,US-MD,Hugo,,ODM,K2G4,2G4,"39.580819, -79.33573"
K2G9,small_airport,Somerset County Airport,2275,NA,US,US-PA,Hibbing,,,K2G9,2G9,"40.039101, -79.014603"
K2GC,small_airport,Grays Creek Airport,160,NA,US,US-NC,Whitefield,,,,2GC,"34.8937, -78.843498"
K2H0,small_airport,Shelby County Airport,618,NA,US,US-IL,Ogden,,,2H0,2H0,"39.410400390599996, -88.8453979492"
K2H2,small_airport,Jerry Sumners Sr Aurora Municipal Airport,1434,NA,US,US-MO,Higginsville,,,K2H2,2H2,"36.962299, -93.695297"
K2H9,small_airport,Rolette Airport,1620,NA,US,US-ND,Lake Havasu City,,,,2H9,"48.665298, -99.853203"
K2I0,small_airport,Madisonville Regional Airport,439,NA,US,US-KY,Portland,,,2I0,2I0,"37.355868, -87.398205"
K2I3,small_airport,Rough River State Park Airport,577,NA,US,US-KY,Hebron,,,2I3,2I3,"37.610022, -86.507262"
K2IS,small_airport,Airglades Airport,20,NA,US,US-FL,Hanford,,,,2IS,"26.735195, -81.051078"
K2J2,small_airport,Liberty County Airport,98,NA,US,US-GA,Blytheville,,,K2J2,2J2,"31.784599, -81.641197"
K2J3,small_airport,Louisville Municipal Airport,328,NA,US,US-GA,Jackson,,,K2J3,2J3,"32.98649978637695, -82.38569641113281"
K2J5,small_airport,Millen Airport,237,NA,US,US-GA,Hickory,,,K2J5,2J5,"32.89360046386719, -81.96540069580078"
K2K3,small_airport,Stanton County Municipal Airport,3324,NA,US,US-KS,Batesville,,,KJHN,JHN,"37.583039, -101.733002"
K2K4,small_airport,Scott Field,1643,NA,US,US-OK,Hill City,,,K2K4,2K4,"34.892601, -99.528198"
K2K7,small_airport,Neodesha Municipal Airport,841,NA,US,US-KS,Wheeling,,,K2K7,2K7,"37.43539810180664, -95.64610290527344"
K2K9,small_airport,Haskell Airport,588,NA,US,US-OK,Helena,,,K2K9,2K9,"35.83290100097656, -95.66739654541016"
K2L0,small_airport,Pineville Municipal Airport,100,NA,US,US-LA,Fort Cavazos (Killeen),,,,2L0,"31.341931, -92.4436"
K2LA,heliport,Zach Pourciau Heliport,36,NA,US,US-LA,Hillsville,,,K2LA,2LA,"30.610698, -91.441771"
K2M0,small_airport,Princeton-Caldwell County Airport,584,NA,US,US-KY,Alamogordo,,,K2M0,2M0,"37.115116, -87.857144"
K2M2,small_airport,Lawrenceburg Lawrence County Airport,936,NA,US,US-TN,Hemet,,,K2M2,2M2,"35.234299, -87.257896"
K2M4,small_airport,G V Montgomery Airport,517,NA,US,US-MS,Lexington,,,K2M4,2M4,"32.354867, -89.48824"
K2M8,small_airport,Charles W. Baker Airport,247,NA,US,US-TN,Bedford,,,K2M8,2M8,"35.278999, -89.931503"
K2MO,small_airport,Mount Vernon Municipal Airport,1244,NA,US,US-MO,Huntingburg,,,K2MO,2MO,"37.06840133666992, -93.88490295410156"
K2N4,small_airport,Owasco Airport,1378,NA,US,US-NY,Las Vegas,,,K2N4,2N4,"42.736493, -76.486065"
K2O1,small_airport,Gansner Field,3415,NA,US,US-CA,Harlan,,GNF,,2O1,"39.943902, -120.945"
K2O3,small_airport,Angwin Airport-Parrett Field,1875,NA,US,US-CA,Oxford,,,,2O3,"38.578499, -122.434998"
K2O6,small_airport,Chowchilla Airport,242,NA,US,US-CA,Hobbs,,,K2O6,2O6,"37.11240005493164, -120.24700164794922"
K2O7,small_airport,Independence Airport,3908,NA,US,US-CA,Hillsboro,,,K2O7,2O7,"36.815383, -118.204463"
K2O8,small_airport,Hinton Municipal Airport,1587,NA,US,US-OK,Homerville,,,K2O8,2O8,"35.50590134, -98.3423996"
K2R0,small_airport,Waynesboro Municipal Airport,164,NA,US,US-MS,Huron,,,K2R0,2R0,"31.645999908447266, -88.63480377197266"
K2R1,small_airport,Le Maire Memorial Airport,14,NA,US,US-LA,Fort Campbell,,,K2R1,2R1,"29.899099349975586, -91.66600036621094"
K2R2,small_airport,Hendricks County Gordon Graham Field,897,NA,US,US-IN,Hot Springs,,,K2R2,2R2,"39.7481, -86.473801"
K2R4,small_airport,Peter Prince Field,82,NA,US,US-FL,Houston,,,K2R4,2R4,"30.6376, -86.993698"
K2R5,small_airport,St Elmo Airport,132,NA,US,US-AL,White Plains,,,K2R5,2R5,"30.5019, -88.275101"
K2R6,small_airport,Bunkie Municipal Airport,62,NA,US,US-LA,Hampton,,,K2R6,2R6,"30.95669937133789, -92.23410034179688"
K2R7,small_airport,Franklinton Airport,175,NA,US,US-LA,Baytown,,,K2R7,2R7,"30.819400787353516, -90.11250305175781"
K2R9,small_airport,Kenedy Regional Airport,289,NA,US,US-TX,Hugoton,,,,2R9,"28.825001, -97.865601"
K2RR,small_airport,River Ranch Resort Airport,55,NA,US,US-FL,Hoquiam,,,K2RR,2RR,"27.78219985961914, -81.2052993774414"
K2S4,small_airport,Warden Airport,1276,NA,US,US-WA,Thomson,,,K2S4,2S4,"46.9654006958, -119.066001892"
K2S7,small_airport,Chiloquin State Airport,4217,NA,US,US-OR,Mesquite,,CHZ,K2S7,2S7,"42.57944, -121.879063"
K2S8,small_airport,Wilbur Airport,2182,NA,US,US-WA,Hermiston,,,K2S8,2S8,"47.75419998168945, -118.74299621582031"
K2S9,small_airport,Willapa Harbor Airport,13,NA,US,US-WA,Erwin,,,K2S9,2S9,"46.697601, -123.822998"
K2T1,small_airport,Muleshoe Municipal Airport,3779,NA,US,US-TX,Harlingen,,,K2T1,2T1,"34.18510055541992, -102.64099884033203"
K2V5,small_airport,Wray Municipal Airport,3667,NA,US,US-CO,Harrison,KRYA,,KRYA,RYA,"40.1003, -102.240997"
K2V6,small_airport,Yuma Municipal Airport,4136,NA,US,US-CO,Mary Esther,,,K2V6,2V6,"40.104198, -102.712997"
K2W5,small_airport,Maryland Airport,170,NA,US,US-MD,Herington,,,K2W5,2W5,"38.596572, -77.072639"
K2W6,small_airport,St. Mary's County Regional Airport,142,NA,US,US-MD,Hereford,,LTW,,2W6,"38.315399, -76.550102"
K2Y4,small_airport,Rockwell City Municipal Airport,1217,NA,US,US-IA,Bay St Louis,,,K2Y4,2Y4,"42.387612, -94.618444"
K30,small_airport,Heber Airpark,230,NA,US,US-NY,Harrisburg,,,K30,K30,"43.18339920043945, -73.6332015991211"
K30K,small_airport,Ingalls Municipal Airport,2814,NA,US,US-KS,Oklahoma City,,,30K,30K,"37.907001, -100.530998"
K31,small_airport,Sharon Airport,1508,NA,US,US-NY,Hatteras,,,K31,K31,"42.77840042114258, -74.57759857177734"
K31E,small_airport,Eagles Nest Airport,35,NA,US,US-NJ,Thermopolis,,,K31E,31E,"39.665401, -74.307899"
K32A,small_airport,Danville Municipal Airport,387,NA,US,US-AR,Hastings,,,K32A,32A,"35.087002, -93.427498"
K32S,small_airport,Stevensville Airport,3610,NA,US,US-MT,Hot Springs,,,K32S,32S,"46.525101, -114.053001"
K33J,small_airport,Geneva Municipal Airport,101,NA,US,US-AL,Hot Springs,,,K33J,33J,"31.052579, -85.868715"
K33K,small_airport,Kinsley Municipal Airport,2171,NA,US,US-KS,Homestead,,,33K,33K,"37.909, -99.403099"
K33M,small_airport,Water Valley Municipal Airport,270,NA,US,US-MS,Huntsville,,,K33M,33M,"34.16680145263672, -89.68620300292969"
K33N,small_airport,Delaware Airpark,56,NA,US,US-DE,Hawthorne,,,K33N,33N,"39.21874, -75.600424"
K33R,small_airport,Groveton Trinity County Airport,340,NA,US,US-TX,Houghton Lake,,,K33R,33R,"31.08489990234375, -95.16410064697266"
K33S,small_airport,Pru Field,1801,NA,US,US-WA,East Hampton,,,K33S,33S,"47.123199462890625, -118.38999938964844"
K33U,small_airport,Dutch John Airport,6561,NA,US,US-UT,Huntington,,,K33U,33U,"40.917701721191406, -109.39099884033203"
K33V,small_airport,Walden Jackson County Airport,8153,NA,US,US-CO,South Point,,,K33V,33V,"40.750401, -106.271004"
