client_city,client_country_code,server_city,server_country_code
Antananarivo,MG,Johannesburg,ZA
Marree,AU,Sydney,AU
Kuwait City,KW,Doha,QA
Paris,FR,Zurich,CH
Apia,WS,Auckland,NZ
Abakaliki,NG,Lagos,NG
Sailors Falls,AU,Sydney,AU
Lagos,NG,Lagos,NG
Asmara,ER,Nairobi,KE
Bandar Seri Begawan,BN,Manila,PH
Magnolia,US,Washington,US
Paris,FR,Milan,IT
Yaren District,NR,Sydney,AU
Kinshasa,CD,Nairobi,KE
Maputo,MZ,Johannesburg,ZA
Talwood,AU,Sydney,AU
Kukës,AL,Podgorica,ME
Copenhagen,DK,Hamburg,DE
Indianapolis,US,Chicago,US
Vancouver,CA,Seattle,US
Coorabie,AU,Melbourne,AU
Baghdad,IQ,Sofia,BG
Georgetown,GY,Bogota,CO
Kigali,RW,Nairobi,KE
Portland,US,New York,US
Brades,MS,Bogota,CO
Ulan Bator,MN,Seoul,KR
Lubuagan,PH,Manila,PH
Port of Spain,TT,Bogota,CO
Fort Liberté,HT,Miami,US
Baghdad,IQ,Athens,GR
Mercer,US,New York,US
New Orleans,US,Dallas,US
Punxsutawney,US,Washington,US
Kyiv,UA,Warsaw,PL
Amsterdam,NL,Amsterdam,NL
Ljubljana,SI,Milan,IT
Minneapolis,US,Chicago,US
Hamilton,BM,New York,US
Baku,AZ,Tel Aviv,IL
Pago Pago,AS,Auckland,NZ
Charleston,US,Washington,US
Tegucigalpa,HN,Dallas,US
Stockholm,SE,Stockholm,SE
Cheyenne,US,Denver,US
Atlanta,US,Charleston,US
Kyiv,UA,Sofia,BG
Vienna,AT,Prague,CZ
Melbourne,AU,Melbourne,AU
Columbus,US,Chicago,US
Maitland,AU,Sydney,AU
Santiago,CL,Santiago,CL
Bissau,GW,Lisbon,PT
San Juan,PR,Miami,US
São Tomé,ST,Lagos,NG
Paris,FR,Barcelona,ES
Berlin,DE,Brussels,BE
Nashville,US,Chicago,US
Bamako,ML,Lisbon,PT
Bigler,US,Washington,US
Delhi,IN,New Delhi,IN
Brasília,BR,Sao Paulo,BR
Mexico City,MX,Las Vegas,US
Sydney,AU,Sydney,AU
Armagh,US,New York,US
Berlin,DE,Berlin,DE
Paris,FR,Marseille,FR
Honolulu,US,San Francisco Bay Area,US
Frostproof,US,Washington,US
Gawler,AU,Melbourne,AU
Belgrade,RS,Belgrade,RS
Mexico City,MX,Los Angeles,US
Vancouver,CA,Vancouver,CA
Conakry,GN,Lisbon,PT
Toamasina,MG,Maputo,MZ
Hooversville,US,Washington,US
Zagreb,HR,Milan,IT
Fargo,US,Winnipeg,CA
Nairobi,KE,Nairobi,KE
Titusville,US,Washington,US
Asunción,PY,Florianopolis,BR
Bartlett,US,Dallas,US
Vilnius,LT,Warsaw,PL
Paris,FR,London,GB
Freetown,SL,Lagos,NG
Dodoma,TZ,Nairobi,KE
Kuttabul,AU,Sydney,AU
Jamestown,SH,Lagos,NG
Lilongwe,MW,Johannesburg,ZA
Honolulu,US,Los Angeles,US
Charlotte,US,Washington,US
Jerusalem,IL,Tel Aviv,IL
Providence,US,New York,US
Charlotte Amalie,VI,Miami,US
Saint-Denis,RE,Maputo,MZ
Clearfield,US,Washington,US
Macapá,BR,Sao Paulo,BR
Fayette,US,New York,US
Harare,ZW,Maputo,MZ
Dakar,SN,Madrid,ES
Montecarlo,AR,Florianopolis,BR
Panama City,PA,Bogota,CO
Armagh,US,Washington,US
Adelaide,AU,Melbourne,AU
Port Vila,VU,Auckland,NZ
Damascus,SY,Sofia,BG
Port Moresby,PG,Sydney,AU
Santa Cruz,EC,Bogota,CO
Las Vegas,US,Los Angeles,US
Milan,IT,Milan,IT
Seoul,KR,Osaka,JP
Berlin,DE,Prague,CZ
Fredericton,CA,Moncton,CA
Juba,SS,Nairobi,KE
Monrovia,LR,Lagos,NG
Quirindi,AU,Sydney,AU
Yaoundé,CM,Lagos,NG
Kuala Lumpur,MY,Manila,PH
Aden,YE,Doha,QA
Port Louis,MU,Antananarivo,MG
Boise,US,Seattle,US
Titusville,US,New York,US
Zagreb,HR,Sofia,BG
Bridgetown,BB,Bogota,CO
Polk City,US,Miami,US
Miami,US,Miami,US
Temple,US,Dallas,US
Downtown,IO,Chennai,IN
Billings,US,Salt Lake City,US
Calgary,CA,Calgary,CA
Des Moines,US,Chicago,US
Dublin,IE,Dublin,IE
Nicosia,CY,Athens,GR
Tirana,AL,Sofia,BG
Tempe,US,Las Vegas,US
Bogotá,CO,Bogota,CO
Budapest,HU,Prague,CZ
Omaha,US,Denver,US
Manila,PH,Manila,PH
Friant,US,San Francisco Bay Area,US
Willemstad,CW,Bogota,CO
Pomborneit,AU,Sydney,AU
Amarillo,US,Dallas,US
Budapest,HU,Belgrade,RS
Phoenix,US,Los Angeles,US
Atlanta,US,Miami,US
Santa Cruz de la Sierra,BO,Santiago,CL
Colombo,LK,Singapore,SG
Smithfield,US,New York,US
Paramaribo,SR,Bogota,CO
Little Rock,US,Dallas,US
Porto-Novo,BJ,Lagos,NG
Innot Hot Springs,AU,Sydney,AU
Tegucigalpa,HN,Miami,US
Billings,US,Calgary,CA
Sioux Falls,US,Denver,US
Asmara,ER,Doha,QA
El Paso,US,Dallas,US
Topeka,US,Denver,US
Newark,US,New York,US
Winnipeg,CA,Chicago,US
Bryceville,US,Miami,US
Lima,PE,Lima,PE
Nicosia,CY,Sofia,BG
Doha,QA,Doha,QA
Niamey,NE,Lagos,NG
Manama,BH,Doha,QA
Managua,NI,Bogota,CO
Cooperstown,US,New York,US
Perryopolis,US,New York,US
Darwin,AU,Melbourne,AU
Luxembourg,LU,Frankfurt,DE
Khartoum,SD,Tel Aviv,IL
Green Bay,US,Chicago,US
Khartoum,SD,Nairobi,KE
Buenos Aires,AR,Sao Paulo,BR
Helsinki,FI,Stockholm,SE
Mbabane,SZ,Johannesburg,ZA
Warren,US,Washington,US
Portland,US,Montreal,CA
Bata,GQ,Lagos,NG
Seattle,US,Seattle,US
Utica,US,New York,US
Oranjestad,AW,Bogota,CO
Mbabane,SZ,Maputo,MZ
Bridgeport,US,New York,US
City of London,GB,London,GB
Budapest,HU,Warsaw,PL
Ngerulmud,PW,Manila,PH
Peoria,US,Chicago,US
Woodland,US,Washington,US
Corrigin,AU,Sydney,AU
Ceduna,AU,Perth,AU
West Mifflin,US,Washington,US
Wilmington,US,Washington,US
Billings,US,Denver,US
Noojee,AU,Sydney,AU
Buffalo,US,Toronto,CA
Hagåtña,GU,Manila,PH
Philadelphia,US,New York,US
Burlington,US,New York,US
Revesby,AU,Sydney,AU
Antananarivo,MG,Antananarivo,MG
Mata-Utu,WF,Auckland,NZ
Boise,US,Salt Lake City,US
Stockholm,SE,Berlin,DE
Williamsport,US,New York,US
Basse-Terre,GP,Bogota,CO
Beirut,LB,Tel Aviv,IL
Huntsville,US,Charleston,US
Ebenezer,AU,Sydney,AU
São Paulo,BR,Sao Paulo,BR
Ashburn,US,Washington,US
DuBois,US,New York,US
Cañon City,US,Miami,US
Baghdad,IQ,Doha,QA
Antananarivo,MG,Maputo,MZ
The Valley,AI,Bogota,CO
Damascus,SY,Athens,GR
Mexico City,MX,Mexico City,MX
Portland,US,Seattle,US
San José,CR,Bogota,CO
Rio de Janeiro,BR,Sao Paulo,BR
Williamsburg,US,New York,US
Philipsburg,SX,Bogota,CO
Stanley,FK,Santiago,CL
Fort-de-France,MQ,Bogota,CO
Lilongwe,MW,Cape Town,ZA
Seoul,KR,Tokyo,JP
Mount Pleasant,US,Chicago,US
São Gabriel da Cachoeira,BR,Bogota,CO
Newman,AU,Sydney,AU
Bucharest,RO,Sofia,BG
Suva,FJ,Auckland,NZ
St Peter Port,GG,London,GB
Windber,US,Washington,US
Berlin,US,Washington,US
Stanley,FK,Buenos Aires,AR
Old Morago,AU,Sydney,AU
Bigler,US,New York,US
Halifax,CA,Montreal,CA
Nassau,BS,Miami,US
Zagreb,HR,Belgrade,RS
Albuquerque,US,Denver,US
Berlin,DE,Hamburg,DE
Toronto,CA,Montreal,CA
Bentleyville,US,New York,US
Maleny,AU,Sydney,AU
Washington,US,Washington,US
Yangon,MM,Chennai,IN
Gitega,BI,Nairobi,KE
San Jose,US,San Francisco Bay Area,US
Aden,YE,Nairobi,KE
Harare,ZW,Johannesburg,ZA
Somerset,AU,Melbourne,AU
Yangon,MM,Singapore,SG
Milwaukee,US,Chicago,US
Podgorica,ME,Podgorica,ME
Bratislava,SK,Warsaw,PL
George Town,KY,Miami,US
Andover,US,Washington,US
Riga,LV,Warsaw,PL
Berlin,DE,Frankfurt,DE
Shoreham,AU,Sydney,AU
Bangui,CF,Nairobi,KE
Mariehamn,AX,Stockholm,SE
Accra,GH,Lagos,NG
Provo,TC,Miami,US
Madrid,ES,Madrid,ES
Khartoum,SD,Maputo,MZ
Townville,US,Washington,US
Auckland,NZ,Wellington,NZ
Podgorica,ME,Belgrade,RS
Bamako,ML,Madrid,ES
Boise,US,Spokane,US
Detroit,US,Chicago,US
Louisville,US,Chicago,US
Mexico City,MX,Dallas,US
Mumbai,IN,Mumbai,IN
Cayenne,GF,Bogota,CO
Thirlmere,AU,Sydney,AU
Sofia,BG,Sofia,BG
Santo Domingo,DO,Miami,US
Baltimore,US,Washington,US
Damascus,SY,Tel Aviv,IL
Buenos Aires,AR,Buenos Aires,AR
Jacumba Hot Springs,US,Los Angeles,US
Karnup,AU,Sydney,AU
Bastrop,US,Dallas,US
Darwin,AU,Perth,AU
Port-au-Prince,HT,Miami,US
Anchorage,US,Vancouver,CA
Djibouti,DJ,Nairobi,KE
Newcastle,AU,Sydney,AU
Oklahoma City,US,Dallas,US
Vienna,AT,Milan,IT
Beaver County,US,New York,US
Fredericton,CA,Montreal,CA
Asunción,PY,Sao Paulo,BR
Lisbon,PT,Madrid,ES
St John's,AG,Bogota,CO
Las Vegas,US,San Francisco Bay Area,US
Mypolonga,AU,Melbourne,AU
Amsterdam,NL,Frankfurt,DE
Thimphu,BT,New Delhi,IN
Apollo,US,Washington,US
Amman,JO,Tel Aviv,IL
Fayette,US,Washington,US
Papeete,PF,Auckland,NZ
Saipan,MP,Tokyo,JP
Brisbane,AU,Sydney,AU
Seoul,KR,Seoul,KR
Road Town,VG,Miami,US
Tallinn,EE,Warsaw,PL
Bellangry,AU,Sydney,AU
Toronto,CA,Toronto,CA
Boswell,US,Washington,US
Christchurch,NZ,Wellington,NZ
Johannesburg,ZA,Johannesburg,ZA
Scenery Hill,US,New York,US
Singapore,SG,Singapore,SG
Petersburg,US,Washington,US
Halifax,CA,Moncton,CA
Sarajevo,BA,Belgrade,RS
Paris,FR,Paris,FR
Majuro,MH,Honolulu,US
Monongahela,US,New York,US
West Island,CC,Jakarta,ID
Boston,US,New York,US
Regina,CA,Calgary,CA
Kralendijk,BQ,Bogota,CO
